,filename,beginposition,relativeorbitnumber,cloudcoverpercentage,orbitdirection,tileid,tileid_acquisitiondate,month,day_of_year,year
e9009ac0-89d7-4e14-8c27-a6c236ec5996,S2B_MSIL2A_20220604T104619_N0400_R051_T31UDP_20220604T124954.SAFE,2022-06-04 10:46:19.024,51,5.033537,ASCENDING,T31UDP,T31UDP_20220604T104619,06,155,2022
fbbce9a9-0864-4c69-b4cd-6b49c3e8a403,S2A_MSIL2A_20220530T104631_N0400_R051_T31UDP_20220530T173017.SAFE,2022-05-30 10:46:31.024,51,47.074603999999994,ASCENDING,T31UDP,T31UDP_20220530T104631,05,150,2022
119b44ec-8ef2-4e9c-b99f-0977a7829cd7,S2B_MSIL2A_20220525T104619_N0400_R051_T31UDP_20220525T124346.SAFE,2022-05-25 10:46:19.024,51,40.450636,ASCENDING,T31UDP,T31UDP_20220525T104619,05,145,2022
ec214731-518c-4ca2-a5e8-0f1583781880,S2A_MSIL2A_20220520T104631_N0400_R051_T31UDP_20220520T170718.SAFE,2022-05-20 10:46:31.024,51,88.857299,ASCENDING,T31UDP,T31UDP_20220520T104631,05,140,2022
c76be218-247b-45e8-a7fb-63caf2626fba,S2B_MSIL2A_20220515T104619_N0400_R051_T31UDP_20220515T125210.SAFE,2022-05-15 10:46:19.024,51,28.364697,ASCENDING,T31UDP,T31UDP_20220515T104619,05,135,2022
e011f4da-ac45-4d78-9c76-2e8ceb2d1a8d,S2A_MSIL2A_20220510T104621_N0400_R051_T31UDP_20220510T174921.SAFE,2022-05-10 10:46:21.024,51,17.249617,DESCENDING,T31UDP,T31UDP_20220510T104621,05,130,2022
75ec7c32-00f5-47a2-87ff-ebbf1b61fc96,S2B_MSIL2A_20220505T104619_N0400_R051_T31UDP_20220505T125034.SAFE,2022-05-05 10:46:19.024,51,77.657354,ASCENDING,T31UDP,T31UDP_20220505T104619,05,125,2022
bf137bb8-f7b5-4136-afa5-2d4ac94a27d2,S2A_MSIL2A_20220430T104631_N0400_R051_T31UDP_20220430T165415.SAFE,2022-04-30 10:46:31.024,51,18.413047,DESCENDING,T31UDP,T31UDP_20220430T104631,04,120,2022
7b82d73e-387f-4e5c-ac50-9edbfa66821e,S2B_MSIL2A_20220425T104619_N0400_R051_T31UDP_20220425T133203.SAFE,2022-04-25 10:46:19.024,51,54.06483999999999,ASCENDING,T31UDP,T31UDP_20220425T104619,04,115,2022
0e002ea9-e60d-4023-8282-a7e92d342ce6,S2A_MSIL2A_20220420T104631_N0400_R051_T31UDP_20220420T175659.SAFE,2022-04-20 10:46:31.024,51,79.805654,ASCENDING,T31UDP,T31UDP_20220420T104631,04,110,2022
0108acf5-a138-42e4-bb4a-4500367d36e8,S2B_MSIL2A_20220415T104619_N0400_R051_T31UDP_20220415T132040.SAFE,2022-04-15 10:46:19.024,51,12.521422,ASCENDING,T31UDP,T31UDP_20220415T104619,04,105,2022
2bd9d5a6-3451-4b08-814d-f83230473f8a,S2A_MSIL2A_20220410T104621_N0400_R051_T31UDP_20220410T150356.SAFE,2022-04-10 10:46:21.024,51,43.51359,DESCENDING,T31UDP,T31UDP_20220410T104621,04,100,2022
55cc1937-297c-45e0-b255-89eb5e38d8b3,S2B_MSIL2A_20220405T104619_N0400_R051_T31UDP_20220405T142655.SAFE,2022-04-05 10:46:19.024,51,99.896377,DESCENDING,T31UDP,T31UDP_20220405T104619,04,095,2022
158e9899-7848-4173-83ae-e90b936c4463,S2A_MSIL2A_20220331T104621_N0400_R051_T31UDP_20220331T141956.SAFE,2022-03-31 10:46:21.024,51,99.947512,DESCENDING,T31UDP,T31UDP_20220331T104621,03,090,2022
d80eabf3-f37e-45d2-9822-945ef75913cc,S2B_MSIL2A_20220326T104639_N0400_R051_T31UDP_20220326T132703.SAFE,2022-03-26 10:46:39.024,51,0.948776,ASCENDING,T31UDP,T31UDP_20220326T104639,03,085,2022
2dc36707-20b4-44ab-b022-755d9996054e,S2A_MSIL2A_20220321T104731_N0400_R051_T31UDP_20220321T145616.SAFE,2022-03-21 10:47:31.024,51,0.698574,DESCENDING,T31UDP,T31UDP_20220321T104731,03,080,2022
c7e9c5fc-d1bf-4982-bfaf-0926ad1460ee,S2B_MSIL2A_20220316T104709_N0400_R051_T31UDP_20220316T125014.SAFE,2022-03-16 10:47:09.024,51,100.0,DESCENDING,T31UDP,T31UDP_20220316T104709,03,075,2022
f17a1390-302d-4401-9112-149a4b0c5246,S2A_MSIL2A_20220311T104841_N0400_R051_T31UDP_20220311T145609.SAFE,2022-03-11 10:48:41.024,51,99.999142,DESCENDING,T31UDP,T31UDP_20220311T104841,03,070,2022
264d4f73-581f-4c95-b4f9-ba0d0d7ba46d,S2B_MSIL2A_20220306T104819_N0400_R051_T31UDP_20220306T142351.SAFE,2022-03-06 10:48:19.024,51,6.087262999999999,DESCENDING,T31UDP,T31UDP_20220306T104819,03,065,2022
